Date,Open,High,Low,Close
21-Aug-17,2292.82,2297.62,2244.72,2249.93
22-Aug-17,2256.95,2270.39,2222.41,2225.1
23-Aug-17,2233.04,2247.49,2227.34,2238.53
24-Aug-17,2247.56,2257.43,2240.91,2244.21
28-Aug-17,2252.36,2271.17,2252.36,2267.82
29-Aug-17,2250.7,2251.89,2228.6,2232.4
30-Aug-17,2233.95,2259.99,2233.25,2244.49
31-Aug-17,2237.35,2264.97,2233.71,2261.46
01-Sep-17,2259.34,2271.66,2257.96,2264.73
04-Sep-17,2266.36,2271.02,2232.32,2249.97
05-Sep-17,2255.12,2263.54,2250.15,2260.17
06-Sep-17,2254.08,2258.29,2249,2254.85
07-Sep-17,2253.65,2262.66,2250.29,2259.79
08-Sep-17,2254.17,2264.38,2234.84,2239.41
11-Sep-17,2243.04,2284.02,2242.34,2281.33
12-Sep-17,2285.76,2297.74,2280.92,2292.39
13-Sep-17,2299.9,2314.15,2286.61,2290.44
14-Sep-17,2297.07,2328.34,2292.69,2309.52
15-Sep-17,2303.34,2315.17,2274.25,2288.76
18-Sep-17,2295.36,2318.26,2295.36,2301.39
19-Sep-17,2308.82,2315.74,2287.66,2310.81
20-Sep-17,2318.65,2325.16,2298.42,2302.66
21-Sep-17,2302.12,2315.37,2273.02,2289.75
22-Sep-17,2286.5,2286.61,2233.46,2239.35
25-Sep-17,2245.09,2255.68,2209.54,2229.1
26-Sep-17,2248.62,2250.21,2220.84,2233.3
27-Sep-17,2240.34,2246.1,2180.45,2185.27
28-Sep-17,2182.68,2205.2,2176.74,2188.73
29-Sep-17,2197.43,2211.88,2190.66,2206.23
03-Oct-17,2220.46,2227,2189.07,2195.48
04-Oct-17,2198.86,2217,2195.99,2205.62
05-Oct-17,2205.46,2213.38,2203.9,2209.3
06-Oct-17,2213.18,2244.91,2213.18,2236.68
09-Oct-17,2233.06,2241.26,2214.37,2223.45
10-Oct-17,2220.01,2246.04,2220.01,2242.31
11-Oct-17,2242.69,2262.58,2215.1,2223.35
12-Oct-17,2226.48,2245.08,2220.95,2238.47
13-Oct-17,2245.67,2250.79,2233.04,2241.81
